"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"
"8129985"	"1.22e-13"	"1.35e-16"	"10.219701"	"27.316277"	"1.398038"	"PLAGL1"	"PLAG1 like zinc finger 1"	"5325"
"8020141"	"1.69e-13"	"1.94e-16"	"10.143002"	"26.964691"	"1.3631841"	"APCDD1"	"APC down-regulated 1"	"147495"
"8179351"	"1.69e-13"	"2.02e-16"	"-10.134763"	"26.926903"	"-1.9961762"	"CFB"	"complement factor B"	"629"
"8157105"	"1.69e-13"	"2.03e-16"	"10.13421"	"26.924368"	"1.297174"	"ZNF462"	"zinc finger protein 462"	"58499"
"8178115"	"1.92e-13"	"2.40e-16"	"-10.098083"	"26.758643"	"-2.0021037"	"CFB"	"complement factor B"	"629"
"8160138"	"1.92e-13"	"2.42e-16"	"10.096429"	"26.751051"	"1.8087196"	"NFIB"	"nuclear factor I B"	"4781"
"8058765"	"1.96e-13"	"2.53e-16"	"-10.086526"	"26.705613"	"-1.7258369"	"FN1"	"fibronectin 1"	"2335"
"7919699"	"2.23e-13"	"2.95e-16"	"-10.054531"	"26.558772"	"-0.9643045"	"OTUD7B"	"OTU deubiquitinase 7B"	"56957"
"8166447"	"2.33e-13"	"3.15e-16"	"10.040091"	"26.492484"	"1.4437116"	"PTCHD1"	"patched domain containing 1"	"139411"
"8118345"	"2.47e-13"	"3.41e-16"	"-10.023661"	"26.41705"	"-1.9641742"	"CFB"	"complement factor B"	"629"
"8161288"	"2.55e-13"	"3.61e-16"	"10.011703"	"26.362141"	"1.9086197"	"CNTNAP3B///CNTNAP3P2///CNTNAP3"	"contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3"	"728577///643827///79937"
"8050537"	"2.61e-13"	"3.76e-16"	"-10.00286"	"26.32153"	"-1.5680673"	"MATN3"	"matrilin 3"	"4148"
"7999909"	"2.64e-13"	"3.88e-16"	"9.995956"	"26.289822"	"1.2186123"	"GPRC5B"	"G protein-coupled receptor class C group 5 member B"	"51704"
"8056257"	"2.71e-13"	"4.07e-16"	"-9.986151"	"26.244788"	"-2.0196883"	"FAP"	"fibroblast activation protein alpha"	"2191"
"8109159"	"2.71e-13"	"4.20e-16"	"9.979514"	"26.214301"	"3.2328535"	"CARMN///MIR145"	"cardiac mesoderm enhancer-associated non-coding RNA///microRNA 145"	"728264///406937"
"7893778"	"2.71e-13"	"4.23e-16"	"-9.977868"	"26.206742"	"-1.3477627"	""	""	""
"8060940"	"3.11e-13"	"4.95e-16"	"-9.944293"	"26.052484"	"-1.6718775"	"LAMP5"	"lysosomal associated membrane protein family member 5"	"24141"
"8031157"	"3.17e-13"	"5.14e-16"	"9.936428"	"26.016345"	"0.6256199"	"TTYH1"	"tweety family member 1"	"57348"
"7977621"	"3.47e-13"	"5.73e-16"	"9.913256"	"25.909847"	"1.4874541"	"NDRG2"	"NDRG family member 2"	"57447"
"8155460"	"3.55e-13"	"5.98e-16"	"9.904498"	"25.869595"	"1.9439004"	"CNTNAP3B///CNTNAP3P2///CNTNAP3"	"contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3"	"728577///643827///79937"
"7896439"	"3.86e-13"	"6.62e-16"	"-9.882912"	"25.770362"	"-1.2052933"	""	""	""
"8150428"	"4.02e-13"	"7.01e-16"	"9.870635"	"25.713915"	"2.6754675"	"SFRP1"	"secreted frizzled related protein 1"	"6422"
"8098549"	"4.25e-13"	"7.53e-16"	"9.85545"	"25.644088"	"0.6693152"	"STOX2"	"storkhead box 2"	"56977"
"8041570"	"4.73e-13"	"8.77e-16"	"9.823091"	"25.495263"	"0.7547263"	"TMEM178A"	"transmembrane protein 178A"	"130733"
"8138728"	"4.73e-13"	"8.79e-16"	"9.822672"	"25.493339"	"0.8774618"	"HOXA4"	"homeobox A4"	"3201"
"8083494"	"4.73e-13"	"8.80e-16"	"9.822353"	"25.491871"	"1.9274822"	"MME"	"membrane metallo-endopeptidase"	"4311"
"8155849"	"4.80e-13"	"9.08e-16"	"9.815732"	"25.461416"	"1.5172941"	"ANXA1"	"annexin A1"	"301"
"7906185"	"4.95e-13"	"9.51e-16"	"-9.805926"	"25.416306"	"-0.8929069"	"NAXE///NAXE"	"NAD(P)HX epimerase///NAD(P)HX epimerase"	"128240///128240"
"7994756"	"4.97e-13"	"9.75e-16"	"-9.80066"	"25.392078"	"-0.8598291"	"PPP4C"	"protein phosphatase 4 catalytic subunit"	"5531"
"8118613"	"4.97e-13"	"1.02e-15"	"-9.79218"	"25.353067"	"-1.1306564"	"SLC39A7"	"solute carrier family 39 member 7"	"7922"
"8178225"	"4.97e-13"	"1.02e-15"	"-9.79218"	"25.353067"	"-1.1306564"	"SLC39A7"	"solute carrier family 39 member 7"	"7922"
"8179525"	"4.97e-13"	"1.02e-15"	"-9.79218"	"25.353067"	"-1.1306564"	"SLC39A7"	"solute carrier family 39 member 7"	"7922"
"7900922"	"5.12e-13"	"1.06e-15"	"-9.78296"	"25.310643"	"-1.0192684"	"ATP6V0B"	"ATPase H+ transporting V0 subunit b"	"533"
"7991234"	"5.36e-13"	"1.13e-15"	"9.769998"	"25.251002"	"1.2031467"	"MFGE8"	"milk fat globule-EGF factor 8 protein"	"4240"
"8035517"	"5.57e-13"	"1.19e-15"	"-9.758714"	"25.199074"	"-1.9116719"	"COMP"	"cartilage oligomeric matrix protein"	"1311"
"8073826"	"6.18e-13"	"1.34e-15"	"9.733811"	"25.084464"	"0.4819033"	"PPARA"	"peroxisome proliferator activated receptor alpha"	"5465"
"8142468"	"6.62e-13"	"1.45e-15"	"-9.716297"	"25.003846"	"-0.6884237"	"TPM3///ROS1///NTRK1"	"tropomyosin 3///ROS proto-oncogene 1, receptor tyrosine kinase///neurotrophic receptor tyrosine kinase 1"	"7170///6098///4914"
"7895405"	"6.92e-13"	"1.54e-15"	"-9.704025"	"24.947351"	"-1.3104584"	""	""	""
"8120067"	"7.06e-13"	"1.59e-15"	"9.696931"	"24.914694"	"1.7027692"	"SLC25A27"	"solute carrier family 25 member 27"	"9481"
"7996954"	"7.64e-13"	"1.74e-15"	"9.677635"	"24.825852"	"0.976641"	"NFAT5"	"nuclear factor of activated T-cells 5"	"10725"
"8082846"	"9.33e-13"	"2.16e-15"	"9.632492"	"24.617963"	"0.9499662"	"EPHB1"	"EPH receptor B1"	"2047"
"8152119"	"9.75e-13"	"2.28e-15"	"9.620372"	"24.56214"	"1.346696"	"NCALD"	"neurocalcin delta"	"83988"
"8090152"	"1.01e-12"	"2.40e-15"	"9.610242"	"24.515478"	"1.6521992"	"ROPN1B///ROPN1"	"rhophilin associated tail protein 1B///rhophilin associated tail protein 1"	"152015///54763"
"8114470"	"1.07e-12"	"2.58e-15"	"9.594549"	"24.443188"	"0.6988678"	"LRRTM2"	"leucine rich repeat transmembrane neuronal 2"	"26045"
"8129231"	"1.08e-12"	"2.65e-15"	"9.589018"	"24.417708"	"0.9299418"	"FAM184A"	"family with sequence similarity 184 member A"	"79632"
"7919146"	"1.08e-12"	"2.66e-15"	"9.58823"	"24.414082"	"1.5445122"	"LOC102725104///ANKRD20A12P///ANKRD20A8P"	"putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene"	"102725104///100874392///729171"
"7969256"	"1.08e-12"	"2.69e-15"	"9.585623"	"24.402071"	"0.7966295"	"TPTE2P3"	"transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 3"	"220115"
"7892661"	"1.11e-12"	"2.79e-15"	"-9.578027"	"24.367076"	"-1.3546538"	""	""	""
"8000848"	"1.16e-12"	"2.97e-15"	"-9.564597"	"24.305201"	"-0.7004761"	"CD2BP2"	"CD2 cytoplasmic tail binding protein 2"	"10421"
"8102938"	"1.22e-12"	"3.14e-15"	"9.552875"	"24.251189"	"1.1244451"	"RNF150"	"ring finger protein 150"	"57484"
"7995583"	"1.33e-12"	"3.47e-15"	"9.531663"	"24.153445"	"0.6529328"	"CHD9"	"chromodomain helicase DNA binding protein 9"	"80205"
"8025918"	"1.37e-12"	"3.62e-15"	"9.523232"	"24.114591"	"1.5923968"	"CNN1"	"calponin 1"	"1264"
"8092552"	"1.38e-12"	"3.69e-15"	"9.518952"	"24.094869"	"0.923589"	"IGF2BP2"	"insulin like growth factor 2 mRNA binding protein 2"	"10644"
"8139207"	"1.38e-12"	"3.75e-15"	"-9.515246"	"24.077789"	"-1.7586321"	"INHBA///INHBA"	"inhibin beta A subunit///inhibin beta A subunit"	"3624///3624"
"7910146"	"1.38e-12"	"3.78e-15"	"-9.514055"	"24.072304"	"-0.8092839"	"PSEN2"	"presenilin 2"	"5664"
"7920725"	"1.52e-12"	"4.19e-15"	"-9.492106"	"23.971144"	"-0.7848441"	"SCAMP3"	"secretory carrier membrane protein 3"	"10067"
"7947358"	"1.58e-12"	"4.41e-15"	"9.481077"	"23.920312"	"1.2233331"	"TPT1-AS1"	"TPT1 antisense RNA 1"	"100190939"
"8121319"	"1.58e-12"	"4.46e-15"	"9.478797"	"23.909801"	"0.8404795"	"SOBP"	"sine oculis binding protein homolog"	"55084"
"8060895"	"1.61e-12"	"4.59e-15"	"9.47277"	"23.882022"	"0.9818548"	"RNU105B"	"RNA, U105B small nucleolar"	"26767"
"8156761"	"1.62e-12"	"4.67e-15"	"-9.469276"	"23.865916"	"-1.0972854"	"NANS"	"N-acetylneuraminate synthase"	"54187"
"8049487"	"1.64e-12"	"4.78e-15"	"-9.464224"	"23.842626"	"-1.4623012"	"MLPH"	"melanophilin"	"79083"
"8151890"	"1.69e-12"	"4.97e-15"	"-9.45572"	"23.80343"	"-0.9183851"	"TP53INP1"	"tumor protein p53 inducible nuclear protein 1"	"94241"
"7993071"	"1.72e-12"	"5.11e-15"	"-9.449817"	"23.776216"	"-0.6487122"	"ALG1"	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"	"56052"
"8032863"	"1.75e-12"	"5.26e-15"	"-9.443834"	"23.748635"	"-0.6697378"	"MYDGF"	"myeloid derived growth factor"	"56005"
"8167815"	"1.75e-12"	"5.32e-15"	"-9.441682"	"23.738714"	"-1.3540875"	"MAGED2"	"MAGE family member D2"	"10916"
"8101728"	"2.05e-12"	"6.30e-15"	"9.405605"	"23.572395"	"1.2865069"	"FAM13A"	"family with sequence similarity 13 member A"	"10144"
"7932326"	"2.05e-12"	"6.34e-15"	"9.404511"	"23.56735"	"0.7718701"	"CUBN"	"cubilin"	"8029"
"8162744"	"2.05e-12"	"6.40e-15"	"-9.402433"	"23.557771"	"-1.0737774"	"CORO2A"	"coronin 2A"	"7464"
"7935553"	"2.21e-12"	"6.96e-15"	"9.384798"	"23.476462"	"1.023944"	"LOXL4"	"lysyl oxidase like 4"	"84171"
"8160521"	"2.29e-12"	"7.36e-15"	"9.372935"	"23.421762"	"0.8767667"	"MOB3B"	"MOB kinase activator 3B"	"79817"
"8034565"	"2.29e-12"	"7.40e-15"	"-9.371602"	"23.415613"	"-0.7100728"	"DNASE2"	"deoxyribonuclease 2, lysosomal"	"1777"
"7901993"	"2.29e-12"	"7.48e-15"	"9.369309"	"23.405043"	"1.3300117"	"CACHD1"	"cache domain containing 1"	"57685"
"8090018"	"2.29e-12"	"7.50e-15"	"-9.36876"	"23.402512"	"-1.4527681"	"PARP9"	"poly(ADP-ribose) polymerase family member 9"	"83666"
"8155359"	"2.35e-12"	"7.78e-15"	"9.361165"	"23.36749"	"2.1614984"	"CNTNAP3B///CNTNAP3P2///CNTNAP3"	"contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3"	"728577///643827///79937"
"7895939"	"2.37e-12"	"7.92e-15"	"9.357444"	"23.350331"	"0.6698315"	""	""	""
"7936996"	"2.45e-12"	"8.24e-15"	"9.349019"	"23.311481"	"1.1654153"	"C10orf90"	"chromosome 10 open reading frame 90"	"118611"
"8082261"	"2.46e-12"	"8.35e-15"	"9.346129"	"23.298157"	"1.5301698"	"ROPN1B///ROPN1"	"rhophilin associated tail protein 1B///rhophilin associated tail protein 1"	"152015///54763"
"7994659"	"2.54e-12"	"8.70e-15"	"-9.337419"	"23.257991"	"-0.6720515"	"MVP"	"major vault protein"	"9961"
"8132151"	"2.56e-12"	"8.85e-15"	"9.333777"	"23.241196"	"0.9348722"	"ADCYAP1R1"	"ADCYAP receptor type I"	"117"
"7986385"	"2.56e-12"	"8.99e-15"	"9.330568"	"23.226399"	"1.848593"	"SYNM"	"synemin"	"23336"
"8017736"	"2.56e-12"	"9.01e-15"	"9.330102"	"23.224248"	"0.9421124"	"CEP112"	"centrosomal protein 112"	"201134"
"8151993"	"2.59e-12"	"9.17e-15"	"-9.326218"	"23.206337"	"-1.9818561"	"COX6C"	"cytochrome c oxidase subunit 6C"	"1345"
"7916493"	"2.61e-12"	"9.34e-15"	"9.322363"	"23.188558"	"0.942201"	"PLPP3"	"phospholipid phosphatase 3"	"8613"
"8097841"	"2.62e-12"	"9.48e-15"	"9.319277"	"23.174326"	"1.3925401"	"TRIM2"	"tripartite motif containing 2"	"23321"
"8134263"	"2.62e-12"	"9.66e-15"	"-9.315306"	"23.156016"	"-1.8891307"	"COL1A2///COL1A2"	"collagen type I alpha 2 chain///collagen type I alpha 2 chain"	"1278///1278"
"8097116"	"2.62e-12"	"9.90e-15"	"9.310238"	"23.132644"	"1.2309455"	""	""	""
"8125149"	"2.62e-12"	"9.98e-15"	"-9.308414"	"23.12423"	"-1.8334339"	"SLC44A4"	"solute carrier family 44 member 4"	"80736"
"8178653"	"2.62e-12"	"9.98e-15"	"-9.308414"	"23.12423"	"-1.8334339"	"SLC44A4"	"solute carrier family 44 member 4"	"80736"
"8179861"	"2.62e-12"	"9.98e-15"	"-9.308414"	"23.12423"	"-1.8334339"	"SLC44A4"	"solute carrier family 44 member 4"	"80736"
"8155540"	"2.62e-12"	"1.00e-14"	"9.308034"	"23.122478"	"2.2015171"	"CNTNAP3B///CNTNAP3P2///CNTNAP3"	"contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3"	"728577///643827///79937"
"8161460"	"2.62e-12"	"1.00e-14"	"9.308034"	"23.122478"	"2.2015171"	"CNTNAP3B///CNTNAP3P2///CNTNAP3"	"contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3"	"728577///643827///79937"
"8151768"	"2.79e-12"	"1.07e-14"	"9.293087"	"23.053549"	"1.2281533"	"RUNX1T1"	"RUNX1 translocation partner 1"	"862"
"7989611"	"2.84e-12"	"1.10e-14"	"-9.287645"	"23.02845"	"-1.0929691"	"FAM96A"	"family with sequence similarity 96 member A"	"84191"
"8050497"	"3.07e-12"	"1.20e-14"	"9.269783"	"22.946071"	"0.9805648"	"OSR1"	"odd-skipped related transciption factor 1"	"130497"
"7919856"	"3.11e-12"	"1.22e-14"	"-9.265104"	"22.924491"	"-0.7796923"	"CERS2"	"ceramide synthase 2"	"29956"
"7919139"	"3.32e-12"	"1.32e-14"	"9.249947"	"22.854582"	"1.4760099"	"LOC102725104///ANKRD20A12P///ANKRD20A8P///ANKRD20A5P"	"putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A5, pseudogene"	"102725104///100874392///729171///440482"
"7965123"	"3.49e-12"	"1.39e-14"	"9.237649"	"22.797864"	"0.778253"	"PPP1R12A"	"protein phosphatase 1 regulatory subunit 12A"	"4659"
"7996027"	"3.63e-12"	"1.46e-14"	"9.227484"	"22.75098"	"1.4759398"	"CX3CL1"	"C-X3-C motif chemokine ligand 1"	"6376"
"7907657"	"3.63e-12"	"1.47e-14"	"-9.226045"	"22.744339"	"-1.3689761"	"RALGPS2"	"Ral GEF with PH domain and SH3 binding motif 2"	"55103"
"7894562"	"3.71e-12"	"1.52e-14"	"-9.21985"	"22.715766"	"-2.4647225"	""	""	""
"8019507"	"3.87e-12"	"1.60e-14"	"-9.208362"	"22.662777"	"-0.4354996"	"C17orf62"	"chromosome 17 open reading frame 62"	"79415"
"7899134"	"3.87e-12"	"1.60e-14"	"-9.208133"	"22.661723"	"-0.7149701"	"CEP85"	"centrosomal protein 85"	"64793"
"8112615"	"3.93e-12"	"1.64e-14"	"-9.203451"	"22.640126"	"-0.924845"	"ENC1"	"ectodermal-neural cortex 1"	"8507"
"8082075"	"3.94e-12"	"1.66e-14"	"-9.201098"	"22.629276"	"-0.8685817"	"DTX3L"	"deltex E3 ubiquitin ligase 3L"	"151636"
"7896657"	"4.04e-12"	"1.71e-14"	"-9.19445"	"22.598609"	"-0.6110695"	""	""	""
"8171297"	"4.32e-12"	"1.84e-14"	"9.178583"	"22.525426"	"1.6665289"	"MID1"	"midline 1"	"4281"
"8068833"	"4.61e-12"	"1.98e-14"	"9.163701"	"22.456778"	"0.7307529"	"PDE9A"	"phosphodiesterase 9A"	"5152"
"8042402"	"4.83e-12"	"2.09e-14"	"9.152195"	"22.403707"	"1.0031663"	"APLF"	"aprataxin and PNKP like factor"	"200558"
"8027793"	"4.90e-12"	"2.14e-14"	"-9.147027"	"22.379869"	"-0.6436457"	"LSR"	"lipolysis stimulated lipoprotein receptor"	"51599"
"8047926"	"4.90e-12"	"2.15e-14"	"9.146372"	"22.376847"	"1.0707334"	"MAP2"	"microtubule associated protein 2"	"4133"
"7897119"	"5.23e-12"	"2.31e-14"	"-9.131101"	"22.306411"	"-0.656216"	"FAM213B"	"family with sequence similarity 213 member B"	"127281"
"8139712"	"5.53e-12"	"2.46e-14"	"-9.117847"	"22.245274"	"-0.7607679"	"VOPP1"	"vesicular, overexpressed in cancer, prosurvival protein 1"	"81552"
"8044143"	"5.58e-12"	"2.50e-14"	"9.114647"	"22.230516"	"1.4521051"	"C2orf40"	"chromosome 2 open reading frame 40"	"84417"
"7975607"	"5.79e-12"	"2.61e-14"	"-9.105193"	"22.186906"	"-1.1914339"	"ACOT4"	"acyl-CoA thioesterase 4"	"122970"
"7942332"	"5.88e-12"	"2.67e-14"	"9.100576"	"22.165611"	"1.30271"	"FOLR1"	"folate receptor 1"	"2348"
"7989953"	"5.91e-12"	"2.70e-14"	"-9.098226"	"22.154769"	"-1.176547"	"AAGAB"	"alpha- and gamma-adaptin binding protein"	"79719"
"7904969"	"5.91e-12"	"2.71e-14"	"-9.096856"	"22.148452"	"-0.7658792"	"VOPP1"	"vesicular, overexpressed in cancer, prosurvival protein 1"	"81552"
"8156134"	"5.96e-12"	"2.76e-14"	"9.09342"	"22.132602"	"1.7102629"	"NTRK2"	"neurotrophic receptor tyrosine kinase 2"	"4915"
"7977933"	"5.96e-12"	"2.77e-14"	"-9.092306"	"22.127462"	"-0.9974956"	"SLC7A8"	"solute carrier family 7 member 8"	"23428"
"7892830"	"6.18e-12"	"2.90e-14"	"-9.083235"	"22.085621"	"-0.7127904"	""	""	""
"8109926"	"6.64e-12"	"3.13e-14"	"9.066795"	"22.009795"	"2.9910034"	"GABRP"	"gamma-aminobutyric acid type A receptor pi subunit"	"2568"
"8042038"	"6.65e-12"	"3.16e-14"	"9.065007"	"22.001547"	"1.0490192"	"RPL23AP32"	"ribosomal protein L23a pseudogene 32"	"56969"
"7906703"	"6.89e-12"	"3.29e-14"	"-9.056151"	"21.960698"	"-0.8359632"	"NDUFS2"	"NADH:ubiquinone oxidoreductase core subunit S2"	"4720"
"8135544"	"6.94e-12"	"3.33e-14"	"9.0534"	"21.94801"	"1.0989715"	"FOXP2"	"forkhead box P2"	"93986"
"8120602"	"7.52e-12"	"3.64e-14"	"9.035104"	"21.863622"	"1.0266794"	"OGFRL1"	"opioid growth factor receptor like 1"	"79627"
"8172043"	"7.59e-12"	"3.69e-14"	"9.031758"	"21.84819"	"1.5377112"	"SRPX"	"sushi repeat containing protein, X-linked"	"8406"
"8131949"	"7.81e-12"	"3.82e-14"	"-9.024366"	"21.814096"	"-0.5682047"	"CBX3"	"chromobox 3"	"11335"
"7972217"	"8.14e-12"	"4.01e-14"	"9.014498"	"21.768581"	"1.5257218"	"SPRY2"	"sprouty RTK signaling antagonist 2"	"10253"
"7894019"	"8.27e-12"	"4.10e-14"	"9.009773"	"21.746787"	"0.5584184"	""	""	""
"8017927"	"8.43e-12"	"4.20e-14"	"9.00439"	"21.721963"	"2.058514"	"ABCA9"	"ATP binding cassette subfamily A member 9"	"10350"
"7968212"	"8.93e-12"	"4.48e-14"	"8.990939"	"21.659926"	"1.011623"	"WASF3"	"WAS protein family member 3"	"10810"
"7906133"	"9.09e-12"	"4.59e-14"	"-8.985979"	"21.63705"	"-0.5266588"	"PMF1-BGLAP///PMF1"	"PMF1-BGLAP readthrough///polyamine-modulated factor 1"	"100527963///11243"
"8131927"	"9.33e-12"	"4.74e-14"	"8.979138"	"21.6055"	"1.0642665"	"MPP6"	"membrane palmitoylated protein 6"	"51678"
"8029884"	"9.42e-12"	"4.82e-14"	"-8.97561"	"21.589227"	"-0.5535339"	"SAE1"	"SUMO1 activating enzyme subunit 1"	"10055"
"7981994"	"9.42e-12"	"4.88e-14"	"8.973019"	"21.577279"	"1.8079569"	"SNORD116-23"	"small nucleolar RNA, C/D box 116-23"	"100033434"
"7949765"	"9.42e-12"	"4.89e-14"	"-8.972336"	"21.574128"	"-0.8030401"	"PPP1CA"	"protein phosphatase 1 catalytic subunit alpha"	"5499"
"8018006"	"9.42e-12"	"4.90e-14"	"8.972151"	"21.573275"	"2.0386507"	"ABCA10"	"ATP binding cassette subfamily A member 10"	"10349"
"7915286"	"9.46e-12"	"4.94e-14"	"-8.970087"	"21.563755"	"-0.8669496"	"PPT1"	"palmitoyl-protein thioesterase 1"	"5538"
"8043114"	"9.86e-12"	"5.18e-14"	"8.960036"	"21.517402"	"0.9050309"	"TCF7L1"	"transcription factor 7 like 1"	"83439"
"7923386"	"1.01e-11"	"5.35e-14"	"8.953235"	"21.486041"	"1.2467904"	"LMOD1"	"leiomodin 1"	"25802"
"8070603"	"1.02e-11"	"5.41e-14"	"-8.950972"	"21.475603"	"-0.8039193"	"RSPH1"	"radial spoke head 1 homolog"	"89765"
